gene1	gene2
COL11A1	LAMA4
COL12A1	LAMA4
ITGA11	LAMA4
ITGA5	LAMA4
LAMA4	LAMB2
LAMA4	THBS1
COL11A1	LEPRE1
COL12A1	LEPRE1
LEPRE1	SERPINF1
DPT	ISLR
COL11A1	PXDN
SERPINF1	THBS1
BGN	SULF1
SULF1	SUMF1
BGN	THBS1
COL11A1	THBS1
COL12A1	THBS1
ITGA11	THBS1
ITGA5	THBS1
SPARCL1	THBS1
SPON2	THBS1
TGFB2	THBS1
TGFBI	THBS1
THBS1	THSD4
BGN	LOXL1
COL12A1	LOXL1
HMCN1	ITGA5
ANGPTL2	ITGA5
ITGA11	ITGA5
ITGA5	LAMB2
ITGA5	NPNT
ITGA5	TGFBI
BGN	IGFBP7
BGN	COL12A1
COL11A1	COL12A1
COL12A1	TGFBI
CHCHD5	THSD4
COL11A1	ITGA11
ITGA11	LAMB2
ANGPTL2	BGN
BGN	COL11A1
BGN	DPT
BGN	TGFB2
BGN	TGFBI
NPNT	THSD4
SPARCL1	THSD4
SPON2	THSD4
TGFB2	TGFBI
