protein	drug	pvalue	label
TRMT6	Camptothecin_1003	0.00307413268297448	sig
TRMT6	Vinblastine_1004	0.00325200011988548	sig
TRMT6	Cisplatin_1005	0.00207749165541909	sig
TRMT6	Docetaxel_1007	0.000442764516228877	sig
TRMT6	Nilotinib_1013	0.0402504974339556	sig
TRMT6	Axitinib_1021	0.022273515092435	sig
TRMT6	AZD7762_1022	0.0293649090329733	sig
TRMT6	Staurosporine_1034	0.00552117873693778	sig
TRMT6	PLX-4720_1036	7.89877625059272e-05	sig
TRMT6	NU7441_1038	0.0289370584297965	sig
TRMT6	Doramapimod_1042	0.00150114240984651	sig
TRMT6	PD173074_1049	0.0113493798935637	sig
TRMT6	ZM447439_1050	0.00331334138550002	sig
TRMT6	Alisertib_1051	0.00279729998492909	sig
TRMT6	RO-3306_1052	0.0385893239207396	sig
TRMT6	Palbociclib_1054	0.0255120775524356	sig
TRMT6	Dactolisib_1057	5.02268341442067e-05	sig
TRMT6	AZD8055_1059	1.81775086033688e-05	sig
TRMT6	Obatoclax Mesylate_1068	6.26879603435164e-05	sig
TRMT6	Paclitaxel_1080	0.0148418405104015	sig
TRMT6	Rapamycin_1084	0.000748066029385388	sig
TRMT6	BI-2536_1086	0.0182285213405219	sig
TRMT6	Irinotecan_1088	0.0120223465466976	sig
TRMT6	BMS-536924_1091	0.00264232717291612	sig
TRMT6	GSK1904529A_1093	0.00337573474567446	sig
TRMT6	Tozasertib_1096	0.00384330942826077	sig
TRMT6	PRIMA-1MET_1131	0.0175290557069445	sig
TRMT6	Dinaciclib_1180	0.00682101623883453	sig
TRMT6	Gemcitabine_1190	0.0029885672250307	sig
TRMT6	Bortezomib_1191	0.00012000168265319	sig
TRMT6	GSK269962A_1192	2.91084384632524e-06	sig
TRMT6	SB505124_1194	0.0109800315523941	sig
TRMT6	Tamoxifen_1199	0.00106451812880046	sig
TRMT6	Fulvestrant_1200	0.0278908402148575	sig
TRMT6	EPZ004777_1237	0.0452898440143136	sig
TRMT6	YK-4-279_1239	0.0101877887740434	sig
TRMT6	BMS-345541_1249	0.0031916952299301	sig
TRMT6	AZ960_1250	0.0044897963307339	sig
TRMT6	Talazoparib_1259	0.00370404711833922	sig
TRMT6	Dabrafenib_1373	0.00440893256584994	sig
TRMT6	Temozolomide_1375	0.00231077144770387	sig
TRMT6	AZD5438_1401	0.00429011014409325	sig
TRMT6	AZD1208_1449	0.0197010934670208	sig
TRMT6	AZD1332_1463	0.00846140727828178	sig
TRMT6	Linsitinib_1510	0.0329878308777099	sig
TRMT6	Epirubicin_1511	0.00190291565062486	sig
TRMT6	Cyclophosphamide_1512	0.0147234628265929	sig
TRMT6	Pevonedistat_1529	0.0015621550727886	sig
TRMT6	Sapitinib_1549	0.00587504593621212	sig
TRMT6	Luminespib_1559	0.0356949509591632	sig
TRMT6	EPZ5676_1563	0.0229605386600816	sig
TRMT6	Leflunomide_1578	0.026089688212725	sig
TRMT6	WZ4003_1614	0.0325149948552837	sig
TRMT6	CZC24832_1615	0.0242071786980934	sig
TRMT6	GSK2606414_1618	0.0349384816304286	sig
TRMT6	PFI3_1620	0.0240255701981076	sig
TRMT6	PCI-34051_1621	0.0329878308777099	sig
TRMT6	CDK9_5576_1708	0.00796978976943673	sig
TRMT6	CDK9_5038_1709	0.0156942219986382	sig
TRMT6	IRAK4_4710_1716	0.0204755900899733	sig
TRMT6	Selumetinib_1736	0.0422648015374135	sig
