Drug.Name	Target.Name	ps
SB505124_1194	LSM14B	118.8886599
Docetaxel_1007	TROVE2	87.99932311
Oxaliplatin_1806	LSM14B	78.22765244
Trametinib_1372	TROVE2	77.79335597
Crizotinib_1083	LSM14B	76.05617007
AZD6738_1917	LSM14B	73.93897476
Pyridostatin_2044	TROVE2	73.83040064
Alpelisib_1560	LSM14B	72.74465945
GNE-317_1926	LSM14B	72.52751121
Uprosertib_2106	TROVE2	71.98464062
AZD8055_1059	LSM14B	65.90448998
VE-822_1613	TROVE2	65.30733233
Oxaliplatin_1089	LSM14B	64.00444291
Tamoxifen_1199	TROVE2	62.15868289
LGK974_1598	LSM14B	61.88724759
Ribociclib_1632	TROVE2	60.80150641
Fulvestrant_1200	TROVE2	58.46716286
Entospletinib_1630	LSM14B	56.45854166
P22077_1933	LSM14B	55.04707812
Erlotinib_1168	LSM14B	53.63561458
Dactolisib_1057	TROVE2	51.62699339
AZD8055_1059	TROVE2	48.36976983
XAV939_1268	LSM14B	48.26119571
Trametinib_1372	LSM14B	47.17545453
VX-11e_2096	TROVE2	46.52400981
Selumetinib_1736	LSM14B	45.11254627
AGI-5198_1913	LSM14B	44.94968509
Navitoclax_1011	LSM14B	44.84111098
Obatoclax Mesylate_1068	TROVE2	44.56967568
Daporinad_1248	LSM14B	43.80965685
Uprosertib_1553	TROVE2	41.203878
Nelarabine_1814	TROVE2	41.04101683
AZD6482_2169	LSM14B	40.82386859
Gemcitabine_1190	RAB15	40.70782715
MK-2206_1053	TROVE2	39.7381274
Gallibiscoquinazole_1830	TROVE2	39.68384034
Osimertinib_1919	LSM14B	39.08668269
Sepantronium bromide_1941	LSM14B	39.03239563
Docetaxel_1007	DHX30	38.97258455
PRT062607_1631	LSM14B	38.2723768
AZD8055_1059	DHX30	37.93671193
Sepantronium bromide_1941	TROVE2	37.78379327
Dinaciclib_1180	DHX30	37.18952512
Doramapimod_1042	LSM14B	37.13234856
Rapamycin_1084	TROVE2	37.02377444
Paclitaxel_1080	TROVE2	35.99232031
Sapitinib_1549	LSM14B	35.55802384
Nilotinib_1013	TROVE2	35.0694403
Sorafenib_1085	DHX30	34.52342675
Niraparib_1177	PRCP	34.02768812
Mirin_1048	LSM14B	33.38654146
Cytarabine_1006	LSM14B	33.33225441
Entinostat_1593	IGJ	32.89590057
AZD5582_1617	PRCP	31.91614854
ABT737_1910	LSM14B	31.59506851
UMI-77_1939	TROVE2	31.54078145
AZD3759_1915	LSM14B	31.48649439
AZD8186_1918	LSM14B	31.21505909
SB505124_1194	TROVE2	30.61790144
LY2109761_1852	LSM14B	30.61790144
Ulixertinib_1908	LSM14B	30.34646614
LY2109761_1852	PRCP	30.27552787
Ulixertinib_1908	TROVE2	29.96645673
SB216763_1025	LSM14B	28.71785437
PD0325901_1060	LSM14B	28.60928025
AZD5153_1706	LSM14B	28.17498377
AZD8186_1918	RAB15	27.78519234
Selumetinib_1736	TROVE2	27.63211318
Venetoclax_1909	LSM14B	27.52353906
Doramapimod_1042	RAB15	27.46441772
SB216763_1025	TROVE2	27.14352965
Podophyllotoxin bromide_1825	IGJ	27.04273777
Temozolomide_1375	DHX30	27.00061413
VX-11e_2096	LSM14B	26.38351082
Ibrutinib_1799	LSM14B	26.32922376
Oxaliplatin_1806	DHX30	25.96474151
Olaparib_1017	IGJ	25.69200789
AZ6102_2109	LSM14B	25.67777905
AZD5991_1720	TROVE2	25.24348257
CZC24832_1615	DHX30	24.99679497
WIKI4_1940	TROVE2	24.97204727
Dinaciclib_1180	TROVE2	24.86347316
AZD5991_1720	DHX30	24.77603523
WIKI4_1940	LSM14B	24.75489904
JQ1_2172	LSM14B	24.5377508
Savolitinib_1936	LSM14B	24.42917668
Vinblastine_1004	DHX30	24.16470057
Wnt-C59_1622	DHX30	24.11375602
Cisplatin_1005	IGJ	24.04580585
Dihydrorotenone_1827	DHX30	23.97790387
GDC0810_1925	LSM14B	23.88630609
OSI-027_1594	TROVE2	23.83201903
PRIMA-1MET_1131	DHX30	23.82507021
RVX-208_1625	LSM14B	23.72344491
Nutlin-3a (-)_1047	LSM14B	23.18057432
Taselisib_1561	LSM14B	23.0720002
PD173074_1049	DHX30	22.87410518
Lapatinib_1558	TROVE2	22.85485196
OSI-027_1594	LSM14B	22.8005649
GSK591_2110	IGJ	22.79356669
BMS-536924_1091	TROVE2	22.74627784
PD0325901_1060	TROVE2	22.52912961
Alisertib_1051	IGJ	22.28704299
Tamoxifen_1199	DHX30	22.12691837
GSK591_2110	TROVE2	21.98625901
MN-64_1854	RAB15	21.93487422
PFI3_1620	IGJ	21.87901
MK-8776_2046	TROVE2	21.82339784
Sabutoclax_1849	TROVE2	21.66053666
AZD6482_2169	PRCP	21.49516906
IWP-2_1576	DHX30	21.4136946
SCH772984_1564	LSM14B	21.11766606
OTX015_1626	LSM14B	21.06337901
WZ4003_1614	DHX30	20.93821209
MG-132_1862	DHX30	20.90424905
KU-55933_1030	IGJ	20.79561208
Linsitinib_1510	DHX30	20.49669261
BI-2536_1086	TROVE2	20.46622135
Mitoxantrone_1810	DHX30	20.29291439
RVX-208_1625	IGJ	20.19059766
AZD8055_1059	RAB15	20.04077644
Ribociclib_1632	IGJ	19.89512549
SCH772984_1564	TROVE2	19.8690637
AT13148_2170	COPS3	19.63500158
Savolitinib_1936	RAB15	19.44505214
LGK974_1598	PRCP	19.27729296
Docetaxel_1819	DHX30	19.20609722
MK-1775_1179	DHX30	19.01930052
Sepantronium bromide_1941	PRCP	19.00385618
Linsitinib_1510	IGJ	18.81172757
MK-8776_2046	PRCP	18.65446474
Ruxolitinib_1507	RAB15	18.55910319
AZD2014_1441	PRCP	18.48736448
I-BET-762_1624	RAB15	18.32997845
XAV939_1268	USP39	18.19957992
Rapamycin_1084	IGJ	18.17857294
Sapitinib_1549	IGJ	17.86903068
Dactinomycin_1911	DHX30	17.81361272
CZC24832_1615	USP39	17.63935563
Osimertinib_1919	PRCP	17.63667228
AZD6738_1917	DHX30	17.55888994
Epirubicin_1511	DHX30	17.50794539
ZM447439_1050	RAB15	17.36765459
Ipatasertib_1924	IGJ	17.16552553
CZC24832_1615	IGJ	17.12331522
Podophyllotoxin bromide_1825	DHX30	17.11737047
VE821_2111	IGJ	17.09517502
