	Exp027703	Exp027705	Exp027706	Exp027710	Exp027718	Exp027719	Exp027720	Exp027723	Exp027727	Exp031328	Exp033151	Exp033884	Exp033885	Exp033892	Exp033897	Exp033899	Exp034539	Exp034558	Exp034561	Exp034562	Exp034566	Exp034568	Exp034955	Exp034956	Exp034957	Exp034958	Exp035076	Exp035077	Exp027707	Exp027709	Exp027711	Exp027713	Exp027716	Exp027721	Exp027722	Exp027724	Exp027728	Exp028551	Exp031327	Exp033040	Exp033042	Exp033043	Exp033044	Exp033045	Exp033294	Exp033298	Exp033883	Exp033886	Exp033887	Exp033888	Exp033889	Exp033893	Exp033895	Exp035078	Exp035079	Exp036989	Exp036990	Exp036992	Exp036993	Exp036994	Exp036995	Exp036996	Exp036997	Exp036998	Exp036999	Exp037000	Exp037001	Exp037002	Exp037003	Exp037004	Exp037005	Exp037007	Exp037009	Exp037010	Exp037011	Exp037012	Exp037016	Exp037018	Exp037020	Exp037021	Exp037022	Exp037023	Exp037024	Exp043648	Exp027725	Exp028546	Exp028547	Exp028548	Exp028550	Exp028837	Exp030426	Exp030909	Exp031239	Exp031241	Exp031330	Exp031332	Exp031333	Exp031334	Exp033003	Exp033005	Exp033041	Exp033047	Exp033048	Exp033049	Exp033148	Exp033149	Exp033150	Exp033295	Exp033296	Exp033297	Exp033299	Exp033301	Exp033303	Exp033880	Exp033881	Exp033890	Exp033891	Exp034526	Exp034527	Exp034528	Exp034529	Exp034530	Exp034531	Exp034532	Exp034533	Exp034540	Exp034541	Exp034542	Exp034552	Exp034560	Exp034563	Exp034565	Exp034952	Exp034954	Exp034966	Exp035060	Exp035061	Exp035062	Exp035066	Exp035067	Exp035080	Exp035081	Exp035083	Exp037006	Exp041345	Exp041346	Exp041347	Exp041348	Exp041349	Exp041351	Exp041353	Exp041354	Exp041355	Exp041357	Exp041358	Exp042805	Exp042811	Exp043639	Exp043641	Exp028839	Exp033002	Exp033152	Exp033302	Exp034567	Exp034961	Exp034962	Exp034964	Exp035063	Exp035064	Exp035065	Exp035069	Exp035070	Exp035071	Exp035072	Exp035073	Exp035074	Exp036991	Exp042803	Exp042810
C3orf37	0	0	0	0	0	0	0	0	0	0	0.251	0	0.0917	0	0	0.1231	0.1532	0.1192	0	0	0.111	0.1228	0.1948	0	0	0	0.1155	0.1377	0	0.224	0	0	0.2684	0.1647	0	0	0	0	0	0	0	0.1097	0.6981	0.4691	0	0.1469	0	0.0985	0.1465	0.2133	0.1322	0	0.09	0	0	0	0	0	0	0.0431	0	0	0	0	0.264	0	0	0	0	0	0.1254	0	0.2228	0.1415	0.1135	0	0	0.1158	0	0	0	0.1006	0.2136	0.1456	0	0	0.554	0	0	0	0	0	0	0	0.1273	0	0.1881	0.042	0	0	0.5471	0	1.874	1.1738	0.0351	0.4138	0	0	0.1069	0	0.0504	0	0	0	0.1163	0	0	0	1.9035	0	0.154	0.1504	0.0395	0.1281	7.4678	0.0374	0	0	0	0	0	0	0.0535	0	0	0.1575	0.8396	0	0	0	0	0	0	0.0811	0	0.0777	2.2482	0.04	0.0648	0	0	0	0.0412	0	0	0.0836	0.1703	0.0769	0	0	0.1114	0.161	0.4614	0.0143	0.1788	0	0	0	0.2571	0.0647	0.1264	0	0	0	0	0	0.0428	0.0586	0.0939
RNPEP	15.3631	0.5057	4.61	5.6656	4.2963	4.5928	2.9259	9.4047	4.7207	8.2788	4.3328	1.454	3.0062	2.5014	7.8132	7.1014	4.2483	2.4116	1.1748	2.583	3.3441	1.9254	3.7641	3.1635	4.4745	3.7479	3.2551	2.9368	4.7044	9.3551	19.5826	22.7124	10.7153	6.832	7.224	16.1323	4.8819	5.5786	6.8069	14.9307	17.376	2.0523	3.2879	5.1728	4.9923	4.3847	6.0262	5.5869	2.9992	10.7865	2.6419	10.0703	5.3412	6.9307	3.7232	9.2692	6.7938	9.7925	4.8219	3.1291	10.2723	11.1636	14.0618	16.1135	4.0401	7.037	16.0918	16.7758	15.7555	7.3099	19.9115	6.7403	2.864	15.7441	14.9866	7.5553	7.9051	12.3012	2.7143	15.3005	4.833	4.7112	23.5374	7.2957	4.3098	2.1389	2.5469	5.0239	3.7908	2.9334	4.8731	0.6143	1.653	2.9127	1.9642	3.149	14.1345	5.704	2.1034	4.1918	5.9442	1.7691	3.6564	25.124	4.1158	1.4815	3.4815	2.4322	3.6952	9.0129	6.7727	25.3353	3.2116	6.4166	5.1178	3.2502	5.8968	5.34	3.9318	2.7802	3.8128	4.0424	2.3097	3.3563	6.794	1.0672	2.3617	1.5626	0.5129	2.5868	2.248	2.897	2.0048	3.1749	4.5817	3.2987	16.7631	3.9542	2.7374	0.984	4.5576	3.5414	1.1017	1.6599	12.0204	2.313	3.8478	1.9398	7.3562	2.6206	1.5834	2.2815	1.4137	0.3483	1.989	3.1469	2.2356	1.4341	9.3179	4.9966	2.787	6.6778	9.8115	3.8402	1.5744	9.8412	2.4742	6.4544	9.1443	5.2925	11.1141	9.438	8.7825	9.0582	10.7051	6.213	6.6592	6.3709	4.1271
LLGL2	0.3953	0.5379	0.4289	0.2271	0.3797	0.1006	0.4783	0.1182	0.9487	1.3278	0.031	0.014	0.3609	0.2236	0.3571	0.2355	0.3023	0.8846	0.085	0.0826	0.322	1.1229	0.0959	0.0944	0.3612	0.568	0.1261	0.312	0.2602	0.2382	0.565	0.2234	0.2724	0	0.0402	1.7251	0.0316	0.4698	0.5702	0.3359	0.5991	0.0871	0.1226	0.2293	0.5415	0.1141	0	0.0294	0.1647	0.5077	0	1.0023	0.2169	0.3764	0.5249	0.7141	0.1763	0	0.0882	0.2222	0.2899	0.3109	0.2461	0.4541	0.6236	0	0.5375	0.383	0.1922	0.293	0.1751	0.5208	0.4336	0.1878	0.3983	0.2371	0.9296	0.9121	0.0699	0.7894	0.6049	1.4018	0.8203	3.5847	1.0369	0.1413	0	0	0	0	0.2735	0.4193	0.2104	0.1471	9.0163	0.3205	0.5816	0.5205	0.0841	0	0.1841	0.6462	0.2309	1.7751	0.3105	0.2611	0.3471	0.0399	0.2185	0.3122	0.1674	0.3312	0.7738	0.2349	0.2325	0.1514	0.0978	0.466	2.0136	0.6546	0.3742	0.406	0.354	0.1525	0.4147	0.2553	0.2854	0	0.0555	0.0889	0.0271	0.1489	0.5242	0.4291	0.1434	0.1205	2.6005	1.0883	0.4231	0.0554	0.6855	0.2405	0.0679	0.2131	0.8058	0.3485	0.8343	0.0097	1.0151	0.12	0.0843	0.1391	0.3004	0.0792	0.3341	0.5263	0.352	1.0394	0.5902	0.0618	0.0811	0	1.8419	0	0.5914	0.2085	0	0.1089	0.0609	0.0278	0.1881	0.1618	0	0.1996	0.5879	0.0767	0.7594	0	0.5384
ZFAND1	0.1296	0	0	0.1272	0	0.076	0.22	0	0.1922	0.1416	0.0785	0.373	0.0965	1.1705	0.2729	0.1126	0.2232	0	0	0.1197	0	0.3629	0	0	0.1927	0.6115	0.158	0.0639	0	0	0.113	0.1963	0	0	0	0	0	0.2245	0.1434	0	0.0873	0	0	0	0.1184	0	0	0	0	0	0.0551	0	0	0	0.2029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2045	0	0.1058	0	0	0	0	0	0	0.0672	0.0656	0.0627	0	0	0	0	0	0	0	0	0.1863	0	0	0	0.3567	0	0	0	0	0	0	0	0	0.8221	0	0	2.1043	0	0	0	0	0	0.2434	0	0	0	0	0.1507	0	0	0.199	0	0	0	0	0.6016	0	0	0	0	0.385	0	0	0	0	0	0	0	0	0	0.3014	0	0.2318	0.3127	0	0.2144	0.6321	0.6372	0	0	0	0	0	0	0	0.957	0.9705	0.3634	0	0.1884	0.1326	0	0.1353	0.1282	0	0	0	0.611	0	0	0	4.1711	0.2195	0	0.3046	0	0	0.0729
CORO1A	15.7498	59.9018	39.5067	16.7266	3.5887	9.2902	18.1218	11.6	31.6142	9.6988	91.1415	29.3384	36.4209	47.5779	30.3479	17.7726	24.5318	28.8488	3.9082	15.8281	7.411	37.4969	9.6696	40.2549	14.4078	12.5831	11.7331	7.745	3.6083	5.6107	10.9351	2.1908	0.6795	2.8223	5.9016	1.895	7.8382	1.1835	4.8404	20.17	62.2349	1.7742	3.6133	1.1522	20.7683	10.2165	3.2482	16.5472	7.1538	1.1174	1.1503	40.2507	2.4221	1.7087	25.347	10.5462	3.0011	6.5881	5.5221	0.4601	18.5415	1.7362	1.6739	11.2868	7.0275	3.2187	3.7589	13.667	7.642	6.0723	3.589	5.0579	29.4516	12.8879	7.8732	5.7544	1.1078	7.0036	2.8443	8.9647	23.8961	20.2622	3.8727	3.7886	14.4035	11.2305	118.0524	4.7044	4.645	6.0969	24.7319	16.1014	13.2403	8.0207	5.8394	41.3771	8.8471	72.913	8.1882	16.2967	10.9589	4.2496	8.6921	5.1945	17.1454	4.387	7.9715	23.4124	9.8001	15.7042	19.7247	12.5325	20.8724	23.8838	22.8708	17.4225	6.5138	3.1894	8.1738	16.7482	17.7535	16.0251	37.4495	33.6943	31.6048	3.267	94.6912	152.0755	3.3642	17.5521	8.1492	42.9905	12.9173	19.7204	37.3619	13.5538	5.8383	4.3867	3.8275	7.0411	5.8668	24.7011	10.563	41.9747	10.1293	13.311	24.6773	12.346	6.5382	41.7549	40.3	25.1601	5.2098	4.6139	7.9122	5.5788	7.1927	15.1602	6.0999	7.5673	9.828	9.1236	26.6798	6.14	10.8344	21.6281	32.3306	12.8889	9.2193	2.5706	4.7664	8.2811	25.4086	10.2299	3.7655	19.0994	8.8808	6.1703	10.1236
VDAC2	16.2327	14.1438	21.1629	6.4585	9.8134	5.2907	13.6279	4.4219	8.1737	13.7425	58.4319	6.5005	16.226	14.9427	36.6405	27.1448	14.7591	43.6173	20.7639	21.7722	29.4767	50.225	32.953	44.3054	40.654	24.5449	20.5301	31.6196	11.9405	3.1876	7.5784	29.8798	7.6325	2.7252	0.6222	8.14	3.1107	19.2497	14.0729	16.2959	20.8016	2.1768	6.2926	5.2584	27.4976	8.5031	2.3961	21.1797	4.8531	6.5203	3.6774	13.6911	19.5273	3.0721	14.8406	9.0342	2.133	4.7163	18.7716	7.3902	6.023	5.0735	3.0885	12.4223	9.2982	5.827	9.0417	27.0174	42.5203	9.1692	6.3936	24.6155	63.3965	22.764	5.9041	3.2421	5.084	9.2379	5.2059	9.1402	15.7136	12.8673	10.676	12.0333	13.7619	16.6802	27.5058	13.7344	26.945	63.7952	55.4111	12.8704	15.8303	3.9839	10.4168	17.9219	12.3693	18.9949	19.8456	12.4773	14.2222	15.0834	16.1882	19.4715	35.1054	8.5286	24.5368	17.0055	21.5722	17.1966	15.5933	16.3564	28.8192	9.4259	18.2782	27.387	26.8765	31.9042	10.966	35.0659	16.4269	12.2066	19.9033	26.9381	24.3786	31.6086	25.3977	23.8762	20.9821	11.7793	41.6478	21.2951	22.0107	23.4944	11.906	5.6425	29.0454	8.9739	11.7545	5.7845	14.0412	10.6045	46.0085	9.5052	16.9893	13.2315	11.5582	5.1118	15.5955	15.1293	22.4835	19.7652	40.0335	5.9097	17.2364	9.6913	19.0405	19.7644	10.1394	5.3817	7.9048	46.7491	34.5838	16.1915	23.3002	11.2765	18.5612	23.6392	14.7318	9.5366	8.116	11.4286	25.8138	30.724	12.4404	25.7914	24.5602	2.3518	21.9204
UXS1	0	0	0	0	0	0	0	0.4031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.042	0	0	0.0418	0	0	0	0	0	0	0	0	0	0	0	0	0.1328	0.1588	0	0	0	0	0	0	0	0.0502	0	0	0	0	0	0	0	0	0	0.5893	0	0	0	0	0	0	0	0	0.227	0	0	0	0.1314	0	0	0	0	0	0.2119	0	0	0	0.1997	0	0.1173	0	0	0	0	0	0	0	0.091	0	0	0.1406	0	0.5316	0.0723	0	0	0	0	0	0	0	0	0	0	0.236	0	0	0	0	0	0	0	0	0	0.133	0.2209	0	0	0.5478	0.4716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1357	0	0	0.4425	0	0	0	0.2056	0	0	0	0	0.0746	0	0	0.0941	0	0	0	0.1266	0	0	0	0	0	0	0	0	0	0	0
EEF2	61.3665	51.1175	60.1872	108.2789	26.8597	43.1004	60.357	90.218	29.6278	100.167	5.1216	29.9604	81.8584	69.0143	121.8461	66.1675	63.2402	54.9145	11.417	58.4055	60.9652	45.7093	78.0078	47.8057	64.154	78.1427	71.5641	35.7771	45.8195	55.07	60.3668	90.1069	127.5479	63.9206	62.3562	115.0841	70.3837	39.5643	74.4406	77.3588	91.4346	29.5257	104.6946	63.8105	102.4675	70.7824	24.025	88.1825	93.4646	104.3774	44.6711	116.3696	86.3035	49.9	99.0941	61.1187	37.8163	61.1602	28.15	85.5133	52.0043	105.4237	78.5272	130.8684	84.5573	42.534	74.3084	90.6237	69.6027	98.4896	70.8657	60.8513	71.2522	59.7779	53.3013	50.5801	63.2669	104.7231	16.294	80.3854	35.71	51.601	100.3614	35.2625	85.8519	28.0287	38.5072	60.8564	59.3998	44.1219	38.4861	32.3277	10.8396	14.6186	24.8971	39.0382	29.9294	49.9253	16.2446	42.5521	27.3726	11.921	31.9597	37.9084	27.3177	10.0544	67.9001	12.1428	46.5907	32.1718	33.575	37.7251	62.7317	28.2155	65.1626	84.7306	47.8414	49.1106	74.202	74.4537	37.7819	59.6484	66.556	55.8837	68.1701	3.1604	21.4802	55.2716	25.2157	22.2224	43.5468	28.4848	27.4272	49.3739	49.0057	25.3206	44.0873	39.4391	26.3936	13.9996	40.5389	30.0475	16.5792	23.6439	38.532	70.8721	54.1251	19.3036	41.615	39.8059	26.398	26.4529	78.7016	4.3768	63.8863	43.9626	56.7597	45.7464	33.5439	18.2488	19.8902	60.7877	69.0177	67.1841	107.9376	68.0226	120.0436	81.3634	35.2787	25.0867	25.7867	54.8111	53.5127	108.9142	47.5411	84.2235	16.8498	20.659	44.8711
LPP	5.389	13.3653	12.2313	2.4595	1.7156	2.3686	7.1917	4.0676	14.4736	5.729	5.649	4.0319	1.5861	5.1142	6.7563	5.054	7.273	4.0827	1.3413	3.8029	6.498	24.4363	5.1668	10.8982	7.5085	10.5084	6.859	3.4942	1.4119	3.4044	2.2491	1.0258	4.2786	4.508	0.8727	0.9511	1.2718	5.902	0.3528	1.1428	1.0799	0.6202	2.7961	1.1305	1.4803	6.6386	0.6761	2.5326	1.7997	3.1604	1.6444	3.3049	2.7952	0.9181	2.1618	1.3795	2.1215	6.0144	1.8785	2.7512	4.0505	5.8922	6.2093	0.5711	5.3606	10.9663	4.7303	0.8116	2.375	3.3412	8.3559	4.2847	6.5996	2.6042	3.4203	3.4463	0.9945	2.348	6.6973	2.4953	5.2592	1.1807	1.7081	0.6119	6.6548	12.7151	1.6125	9.3063	14.7807	14.208	19.7765	3.5884	2.1136	1.9704	3.7324	7.508	0.8465	5.5984	2.8433	1.4255	9.2683	1.2872	2.7335	3.4563	3.5351	2.4818	4.1963	4.8592	2.7747	0.6327	1.2909	2.0702	12.8528	1.3126	3.5035	7.6287	3.1827	3.7075	4.2731	3.8007	16.1417	4.9198	4.7307	6.9217	2.2235	7.3771	7.1078	8.1937	16.9857	0.995	1.125	4.9359	18.2854	10.1226	2.0308	2.7133	2.6947	3.1729	1.9301	0.2663	15.9274	3.7421	7.9234	2.9201	5.9371	0.6438	3.0319	1.9631	3.4652	5.9205	6.5513	20.6804	0.7405	2.1863	1.9527	10.1878	9.6745	4.6265	6.3168	12.736	0.1633	2.7449	2.437	4.4452	3.1153	12.1856	4.3947	3.5911	5.7555	0.398	0.4967	10.396	5.2494	4.0365	2.4937	5.6549	5.6404	28.9684	3.9875
CANX	147.3649	115.7715	113.7398	226.7095	31.0194	76.7559	60.003	270.2075	72.047	47.3362	112.2627	29.6119	58.1502	40.7464	51.1581	59.6324	42.9721	46.8994	19.2476	38.6141	39.5787	30.8305	15.2973	67.6145	45.5651	82.7614	28.5755	26.5523	73.1963	92.2638	215.6852	158.2564	104.9311	35.7433	20.4889	128.4481	58.0396	68.38	79.2858	71.3219	32.4354	35.7683	126.9185	41.8751	79.4293	53.1139	32.3634	95.2127	73.2488	121.4778	61.1329	110.4435	45.7031	24.2316	43.211	74.7256	25.9208	40.6944	88.5938	32.1972	44.7432	32.6249	39.9452	70.5131	48.277	38.4364	71.8274	71.3154	52.7326	111.456	52.6843	30.3377	55.7768	30.9587	78.5044	60.9001	59.118	38.3507	33.8024	71.322	43.0583	29.5839	88.6455	38.0535	132.0498	7.4176	40.5745	52.3853	22.682	61.6509	15.1235	65.6795	14.4402	18.8678	19.5232	26.1601	17.5689	28.9302	12.7829	8.0204	68.5852	4.1644	29.3079	36.4348	18.5551	7.8987	47.4136	13.7533	38.1201	10.5853	36.6936	12.2706	40.3206	10.9108	25.6571	52.3852	37.9452	39.8715	23.9379	76.4716	29.244	77.8582	55.669	16.7568	64.0958	5.3798	22.4212	18.7687	38.3239	15.7918	41.1636	18.82	8.0353	14.0079	27.1297	20.3704	71.7689	17.3125	26.5281	18.9586	32.5251	48.1485	11.4411	16.4151	38.3153	16.6366	48.484	14.4806	41.6612	25.4864	11.8788	38.3423	24.6629	6.6625	14.0269	26.1288	36.4066	48.6288	45.0566	29.6828	14.6434	15.663	28.5778	14.9111	103.5062	36.1361	57.6565	37.1126	67.0749	21.4437	23.1553	89.1782	80.2	117.3347	25.9495	69.264	8.002	13.3467	51.4297
