Exp027703	Exp027705	Exp027706	Exp027710	Exp027718	Exp027719	Exp027720	Exp027723	Exp027727	Exp031328	Exp033151	Exp033884	Exp033885	Exp033892	Exp033897	Exp033899	Exp034539	Exp034558	Exp034561	Exp034562	Exp034566	Exp034568	Exp034955	Exp034956	Exp034957	Exp034958	Exp035076	Exp035077	Exp027707	Exp027709	Exp027711	Exp027713	Exp027716	Exp027721	Exp027722	Exp027724	Exp027728	Exp028551	Exp031327	Exp033040	Exp033042	Exp033043	Exp033044	Exp033045	Exp033294	Exp033298	Exp033883	Exp033886	Exp033887	Exp033888	Exp033889	Exp033893	Exp033895	Exp035078	Exp035079	Exp036989	Exp036990	Exp036992	Exp036993	Exp036994	Exp036995	Exp036996	Exp036997	Exp036998	Exp036999	Exp037000	Exp037001	Exp037002	Exp037003	Exp037004	Exp037005	Exp037007	Exp037009	Exp037010	Exp037011	Exp037012	Exp037016	Exp037018	Exp037020	Exp037021	Exp037022	Exp037023	Exp037024	Exp043648	Exp027725	Exp028546	Exp028547	Exp028548	Exp028550	Exp028837	Exp030426	Exp030909	Exp031239	Exp031241	Exp031330	Exp031332	Exp031333	Exp031334	Exp033003	Exp033005	Exp033041	Exp033047	Exp033048	Exp033049	Exp033148	Exp033149	Exp033150	Exp033295	Exp033296	Exp033297	Exp033299	Exp033301	Exp033303	Exp033880	Exp033881	Exp033890	Exp033891	Exp034526	Exp034527	Exp034528	Exp034529	Exp034530	Exp034531	Exp034532	Exp034533	Exp034540	Exp034541	Exp034542	Exp034552	Exp034560	Exp034563	Exp034565	Exp034952	Exp034954	Exp034966	Exp035060	Exp035061	Exp035062	Exp035066	Exp035067	Exp035080	Exp035081	Exp035083	Exp037006	Exp041345	Exp041346	Exp041347	Exp041348	Exp041349	Exp041351	Exp041353	Exp041354	Exp041355	Exp041357	Exp041358	Exp042805	Exp042811	Exp043639	Exp043641	Exp028839	Exp033002	Exp033152	Exp033302	Exp034567	Exp034961	Exp034962	Exp034964	Exp035063	Exp035064	Exp035065	Exp035069	Exp035070	Exp035071	Exp035072	Exp035073	Exp035074	Exp036991	Exp042803	Exp042810
TRMT6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786	0	0	0.1771	0	0.2261	0.0235	0.5589	0.1145	0	0	0	0	0	5.0459	0	0	0.293	1.1811	0	0.5871	0.4043	0	0.332	0.4573	0.0487	3.5829	0.7312	1.1069	0.1746	0	0	0	0.0759	0	0.2537	0	1.0386	0.1282	0.2034	0.1086	0	1.082	0	0.0466	0.3569	0	0	0	1.1091	0	0	0.5201	0.2231	0	0	0.1493	0.7522	0.1567	0.0273	0	0	0.0322	0	0.1049	0	1.046	0.1165	0.0531	0	0.1101	0	0	0	1.8477	0	0	0	0	0	0	0	0.0385	0	0	0.0448	0.2873	0.091	0.22	0	0	0.0726	0	0.2271	0	0	0	0	0	0	0	0.7337	0.3128	0.2745	0.5018	0	0	0.3837	0	0	0	0	0	0.0576	0	0.0192	0	0.0291	0.1751	0.1813	0	0	0	0	0	0	0	0.0327	0.5779	0.0876	0.251	0	0.2928	0	0.0183	3.8973	0	3.3839	0	0	0.3953	0	0	0.0701	0	0.0628	0.2854	1.3449	0.5832	0.2053	0.297	1.4058	0.1563	0.1102	0.1723	0.1569	5.1909	0.1886	1.7961	0	0	0
SEC61B	0.2155	0.637	0.7443	1.1218	0.3493	0.5267	0.2996	0.5143	0.3766	1.2625	0.5634	0	0.0676	0	0.3362	0.4382	0	0.2067	0.0655	0.1373	0.1117	0	0.3408	0.5416	0.5693	0.5413	0.8953	0.4513	2.0061	1.3099	3.2917	1.889	2.8898	0.9652	1.3987	1.7537	1.1109	0.1153	0.694	0.1593	0.1655	0.2047	0.8613	0.4519	1.1222	0.3655	0.0622	0.2482	0.1285	0.4475	0.1932	0.4481	0.6473	0.4977	0.7454	1.2553	1.0239	0.7345	0.2982	0.4704	0.9021	0.4388	0.5949	1.589	0.3875	0.185	1.1232	0	0.9965	1.2474	0.451	0.2153	0.1274	0.0721	2.5718	1.5777	1.2473	1.3719	0.3803	3.4841	1.0696	1.2516	4.353	0.6442	0.1426	5.58	0	7.7729	11.081	13.5187	16.6536	6.9668	1.9267	2.3521	6.5873	6.7777	3.1974	8.6299	0	0	0	0.2543	8.0563	4.6205	0.5236	0	0	0	1.0547	17.834	1.824	0.7933	1.5337	10.2259	5.3788	9.0378	5.9278	0.5498	6.1409	6.043	5.9813	5.6561	9.5634	5.3867	5.519	1.6237	0.0433	4.0607	0	15.0101	0	18.7236	47.091	21.968	0.1042	1.0864	0	0	0	0	3.9246	0.3053	2.7566	3.9723	4.9335	6.2013	3.2329	2.1257	5.567	5.459	5.0369	2.8396	0	1.5116	1.0414	2.9095	0.6383	0.3751	2.4146	0	0.8051	0.0676	1.3215	0.1431	2.3577	0.0745	0	0	0.6014	0	0.0768	1.138	0.8164	0.7744	0.1757	0.2368	0	0	1.0321
DRG2	0.4116	0	0.4973	0.1462	0.6549	0	0.8241	0.1881	1.8982	0.4453	1.3335	0.3959	0.7177	0.4196	1.4484	1.0047	0.9593	1.0469	0.2966	1.1418	1.0162	0.0496	0.2444	0.1947	0.9803	0.8669	0.5614	0.4385	0	0.1346	0.0422	1.4824	0	0.3872	0.2905	0	0.2129	0	0.417	1.3757	2.3783	0.0782	0.1539	0.7312	0.7631	0.2477	0	0.7038	0.3684	0.0569	0.1603	0.0264	0.0827	0.0748	0.9487	0.053	0	0.0913	0	0.0244	0	0.2899	0.1566	0.3315	0	0	0	0.9791	0	0	0.1422	0.9561	1.0082	1.1089	0.0696	0.2451	0.1938	0.7334	0.1268	0.3158	0.0792	0.7465	0.3189	0.2266	1.2461	0.1808	0.5643	0.9436	0.088	0.3335	0	0.6896	0.1214	0.0791	0.3968	1.1166	0.5712	0.3861	0	0	0.7834	0.1313	0.3442	1.2105	0.5277	0.1295	0.4539	0.1203	0.4021	0	0	0.2446	0.367	0.7352	0.53	0.5372	0.58	0.4681	0.8779	0.5215	0.0747	0.4636	0.6003	0.9176	0.9431	0	0.6417	0	0.4477	0	0.7992	0.2095	0.1696	0	0.6767	0.5129	1.5836	0.566	0.5147	0.3149	0.6851	0	0.0766	1.8305	0.3655	0.3702	1.0401	0.1027	0.0562	0	0.2849	0.4666	0.3094	0.0359	2.7014	0.2625	0.3495	0.5973	0.817	0	0.7287	0.5788	2.34	0.7078	1.8004	1.0367	0.8878	1.5498	1.0475	0.4049	0.3851	1.1069	0.662	1.4159	0.7222	1.3984	0.7312	0.9136	0.3869
DDX55	0	0	0	0	0	0	0	0	0.0429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145	0	0.0727	0.0315	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326	0	0	0	0	0.0593	0	0	0	0	0	0	0	0	0	0	0	0.112	0	0	0	0.0573	0	0	0	0.0704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1304	0	0	0	0	0	0	0.0264	0	0	0	0.0274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1626	0	0	0	0	0	0.0244	0.0352	0.0201	0	0	0.3534	0	0	0.0149	0.0155	0	0.0381	0	0.0222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045	0	0	0	0	0.4058	0	0	0.0333	0.0776	0	0	0.0388	0	0	0.0493	0	0	0	0	0	0	0.0338
IGJ	0.3229	0.5805	2.5066	0	0.1394	1.1389	0.1341	0.1965	0.1936	1.227	0.3983	0.0898	0.4904	0	0.24	4.0672	0.191	0.5655	0.4745	0.0321	0.439	0.0557	0	0.3758	0	0.5535	0.6105	0.5273	4.8234	0.1512	3.4118	1.7236	1.4393	2.7322	1.1895	0	1.7106	0	0.2132	0.2522	0.6649	0.15	0.502	0.1326	3.0707	0.171	0	0.1966	0.1136	4.4447	1.4297	5.4992	4.566	0.1139	0.3357	0.7088	0.9212	0.5633	0	0.2197	0.6367	0.0811	0.1354	1.1639	0.1877	0	0.4769	0	2.7577	1.0303	0.9339	0.0758	0	0.2252	0.1696	0.3033	1.0613	1.9727	0.1895	4.3656	0.8119	0.3223	1.3418	0.1664	0	5.7041	0	0.774	84.0373	1.2866	21.4977	0.586	6.9505	1.8294	1.9388	5.3353	0.5394	16.4639	0.9593	15.1187	0.2524	0.393	8.877	14.849	0.1046	0	0	0	4.4212	72.6009	3.0191	0.9294	0	3.573	3.6005	29.6639	9.6988	0.0982	7.4536	3.0436	37.5598	11.5329	17.4194	29.2879	4.5416	0.5518	0.9055	238.9804	1.0613	4.8517	0	56.6516	48.6066	75.873	0	0	0.3934	0.9494	0	0.1386	12.3802	0.2407	2.5475	10.1419	8.5309	1.4814	8.7114	1.8662	16.043	21.4981	3.3963	6.1512	1.544	2.9247	2.4315	0	0.3807	14.1966	0.3446	0	0	0	0	0	0	0	0	0	0.4423	0.173	0	0.3262	0.7654	0	0.0605	0	0.2166	0	0.7037
UTP3	0	0	0	0	0	0	0	0.1181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2853	0	0.4763	0.4055	0.0412	0	0	0	0	0	0	0	0	0	0
RAB15	3.4734	18.8958	7.7161	2.107	9.7484	1.1819	19.2876	0.9918	0	1.486	0	0	0	3.8369	13.4775	3.5995	0.4755	20.457	26.12	15.4235	14.9026	11.7116	15.8703	2.7674	0.5939	16.4953	0.7495	1.0797	3.5843	2.9407	5.2548	10.1098	1.5741	1.7586	2.3935	4.0042	2.2808	1.2723	1.9166	0.4443	0.3051	0	1.0177	0.9127	0	0.8661	0	0	0	0.582	0.1412	1.2461	1.3782	0	0.2077	0.5264	0.5836	0	0.5035	0.1304	0.1691	0	0	0.8991	0	0	0.6607	0.4821	0.2224	0.3761	0	2.4643	0	0	1.0165	0.848	0.5592	1.9382	0.2633	1.5251	1.4875	0.9477	2.6515	0.7288	96.3707	17.1104	38.1021	49.7038	65.4445	18.6302	69.683	52.3881	45.4309	3.084	4.0025	4.1791	4.6364	3.6105	54.4703	58.8355	24.2654	23.647	17.5257	25.3114	75.9549	13.9601	19.261	21.4295	10.3205	31.3834	20.8341	42.5168	26.6821	30.131	17.6909	34.068	37.3635	47.4839	22.8807	21.684	37.1902	23.8449	22.5814	34.5907	22.4446	4.6663	21.0978	2.7868	7.6447	67.0685	13.9906	51.2616	14.0214	10.7812	34.0616	47.1018	18.2981	13.2907	1.0964	17.812	65.1497	8.955	19.0209	56.413	32.5107	30.9332	15.449	12.3251	12.1853	33.4857	3.6825	6.8386	9.4382	5.5087	9.7722	24.3939	21.2181	9.7457	25.287	8.2333	0.999	0.4638	1.1408	0	0.8417	0.4471	13.6361	40.7743	0.6807	0.2371	0.435	1.2909	8.2535	0.4044	0.2064	0.2641	0	0	0.4796
COPS3	0.163	0	0.5917	0.5859	0.199	0.4943	0.5501	0.7399	0.281	0.6214	1.4176	0.9147	1.429	0.7687	2.3444	1.4118	1.3417	0.9993	0.3047	1.2693	2.9248	0.5868	0.6661	3.4852	1.7079	2.9014	2.8878	1.0003	0.3749	0.6928	0.2843	0.8368	0.7907	0.4839	1.4275	0.8247	0.7024	0	2.2953	2.9754	4.9957	2.8895	4.3708	4.4594	3.6968	2.5337	0.4716	0.7538	1.0791	1.9944	2.2975	2.4192	3.0114	1.3832	4.1354	3.444	1.0417	2.0196	2.1555	5.2324	1.1673	4.4196	2.2469	6.9537	2.6458	2.979	3.5867	0.3967	3.8557	2.4146	4.1476	2.5871	2.0577	4.1561	3.7801	1.2103	1.1564	1.3767	1.715	2.3708	0.2774	3.5633	3.169	3.7827	0.2725	0	1.6619	0	0	1.6776	0	0.3013	0.5858	0.6677	0.0925	0.6746	0.5214	1.6396	0.2072	1.2045	2.8639	0.6853	0.5108	1.7678	1.2985	0.3285	2.4645	0.8085	0.8413	1.3549	0.8764	1.1005	2.0463	0.7609	2.5033	1.3623	0.8963	0.7767	10.3521	0.6574	0.9829	0.4972	1.0837	1.2856	0.1831	0	0.6437	0.5139	0.878	0.3602	0.6052	0.4329	0.2988	0.2331	0.8751	0.5347	1.9726	1.7033	1.4002	0.835	1.1674	0.8552	0.1798	0.1461	2.0066	1.8734	1.6112	2.007	2.8422	0.4014	1.0251	2.1771	0.5881	0.1809	1.1627	5.8957	1.7295	2.7287	1.6839	0.3582	0.3075	1.6605	1.3345	8.1234	5.2573	3.414	4.9854	3.4863	2.303	1.8736	1.8759	2.1236	3.617	8.7697	4.6152	3.1499	9.721	0	0.8922
RPS11	5.4396	3.5222	8.4851	7.9878	1.5309	2.62	1.5473	4.8643	3.036	4.8626	3.0363	0.3984	0.4154	0.3197	0.3602	3.8014	0.6719	1.0282	1.3357	1.4714	0.5314	0.3553	1.4732	3.7437	4.7742	3.3544	4.1526	0.8232	4.5379	4.4688	21.181	9.4493	9.6028	3.0759	9.7191	14.4799	7.9232	11.446	5.3054	1.4882	2.7739	1.8099	4.106	10.6205	2.8686	3.0715	0.9074	1.6398	1.8494	4.7226	3.0201	4.9467	2.4267	4.2737	3.5221	17.257	9.8109	6.1287	3.8595	9.349	13.0997	1.5919	0.7358	18.2895	1.108	0.5301	7.9999	7.2963	1.4917	10.2363	6.2514	0.532	2.5583	0.3804	12.2101	11.7413	8.0078	6.4991	5.4208	21.1044	2.4491	11.0349	24.5746	10.242	5.745	88.7245	0	4.6601	169.7945	110.3714	23.0026	15.545	14.9297	7.1235	10.7442	21.1456	15.0538	33.1002	13.137	41.4714	0.7893	1.3917	15.3782	37.0029	7.5011	0.1602	0	4.1005	18.96	124.0387	1.5953	23.5934	0.9643	27.4932	18.5566	32.7216	17.3692	1.8911	16.2309	8.6756	36.6268	36.2961	33.2505	31.29	34.2498	0.1486	0.8094	4.5383	0	16.9682	0.4883	35.5398	160.5471	96.4661	1.8618	6.5534	2.5199	11.9765	0.8156	0.1496	49.5541	1.0833	5.5345	33.8326	13.5783	46.7476	19.5823	10.1714	30.0034	53.229	28.4005	40.4365	4.8046	18.4569	21.211	4.9303	0	4.1268	0.6682	0	4.4605	2.2722	6.1017	1.0914	11.4281	4.404	2.6418	1.7717	1.7737	0.5317	2.2123	6.0845	4.1888	2.1989	2.3092	2.6041	1.1217	1.6886	7.0098
LSM14B	0.454	0.4355	0	0.786	0	0.0404	0.8763	0.7612	0.0758	0	0.559	0.0491	0	0.2247	0.9013	0.1862	0.8096	0.2727	0.055	0.2129	0.878	0.1215	0.078	0.3622	1.235	0.26	0.8309	0.4033	0	0.5129	0	0.662	0.2833	0.3071	0.0741	0	0	2.5244	0.1461	0.9974	0.6547	0.3479	0.3706	0.6694	0.8989	0.4013	0.1049	0.3277	0.2155	0	0.1936	0.2695	0.139	0.18	0.5292	0.088	0	0	0.6181	0.5774	0.3217	0.3576	0.4395	0.1904	0.1968	0	0.4309	0	0	0	0.1495	0.5915	0.6495	0.3982	0.5847	0.5919	0.3997	0.472	0.1348	0.4985	0.2645	0.2931	0.2996	0.4311	0.6865	0	0	0.4198	0.2589	0.1711	0	0	0	0.2019	0.4906	0.531	1.5125	0.4295	0	0	0	0	0.2176	0.2439	0.5251	0	0.3549	0.242	0.2737	0	0.1577	0.1793	0	0	0.8607	0.1318	0.1059	0.2327	0.4255	0.2793	0.2622	0.2633	0.0494	0	0.2726	0	0.0967	0	0.1615	0.1386	0.4192	0.0498	0.2806	1.0004	0.4568	1.0708	0.5161	0	0.1118	0	0	0.449	0	0.1679	0.1718	0.2558	0.1185	0.0905	0.0886	0	0.0613	0.3002	0.198	0	0.334	0.7185	0.149	0.1302	0.2419	0.0882	0.2887	0.3364	0.7337	0.9531	2.3794	1.5316	0.3177	1.1007	0.2927	0.2961	0.6222	0.3543	0.3716	4.5691	0.5405	0.8543	0.1699	0	0.2373
