Sample	Group
Exp027703	G-I
Exp027705	G-I
Exp027706	G-I
Exp027710	G-I
Exp027718	G-I
Exp027719	G-I
Exp027720	G-I
Exp027723	G-I
Exp027727	G-I
Exp031328	G-I
Exp033151	G-I
Exp033884	G-I
Exp033885	G-I
Exp033892	G-I
Exp033897	G-I
Exp033899	G-I
Exp034539	G-I
Exp034558	G-I
Exp034561	G-I
Exp034562	G-I
Exp034566	G-I
Exp034568	G-I
Exp034955	G-I
Exp034956	G-I
Exp034957	G-I
Exp034958	G-I
Exp035076	G-I
Exp035077	G-I
Exp027707	G-II
Exp027709	G-II
Exp027711	G-II
Exp027713	G-II
Exp027716	G-II
Exp027721	G-II
Exp027722	G-II
Exp027724	G-II
Exp027728	G-II
Exp028551	G-II
Exp031327	G-II
Exp033040	G-II
Exp033042	G-II
Exp033043	G-II
Exp033044	G-II
Exp033045	G-II
Exp033294	G-II
Exp033298	G-II
Exp033883	G-II
Exp033886	G-II
Exp033887	G-II
Exp033888	G-II
Exp033889	G-II
Exp033893	G-II
Exp033895	G-II
Exp035078	G-II
Exp035079	G-II
Exp036989	G-II
Exp036990	G-II
Exp036992	G-II
Exp036993	G-II
Exp036994	G-II
Exp036995	G-II
Exp036996	G-II
Exp036997	G-II
Exp036998	G-II
Exp036999	G-II
Exp037000	G-II
Exp037001	G-II
Exp037002	G-II
Exp037003	G-II
Exp037004	G-II
Exp037005	G-II
Exp037007	G-II
Exp037009	G-II
Exp037010	G-II
Exp037011	G-II
Exp037012	G-II
Exp037016	G-II
Exp037018	G-II
Exp037020	G-II
Exp037021	G-II
Exp037022	G-II
Exp037023	G-II
Exp037024	G-II
Exp043648	G-II
Exp027725	G-III
Exp028546	G-III
Exp028547	G-III
Exp028548	G-III
Exp028550	G-III
Exp028837	G-III
Exp030426	G-III
Exp030909	G-III
Exp031239	G-III
Exp031241	G-III
Exp031330	G-III
Exp031332	G-III
Exp031333	G-III
Exp031334	G-III
Exp033003	G-III
Exp033005	G-III
Exp033041	G-III
Exp033047	G-III
Exp033048	G-III
Exp033049	G-III
Exp033148	G-III
Exp033149	G-III
Exp033150	G-III
Exp033295	G-III
Exp033296	G-III
Exp033297	G-III
Exp033299	G-III
Exp033301	G-III
Exp033303	G-III
Exp033880	G-III
Exp033881	G-III
Exp033890	G-III
Exp033891	G-III
Exp034526	G-III
Exp034527	G-III
Exp034528	G-III
Exp034529	G-III
Exp034530	G-III
Exp034531	G-III
Exp034532	G-III
Exp034533	G-III
Exp034540	G-III
Exp034541	G-III
Exp034542	G-III
Exp034552	G-III
Exp034560	G-III
Exp034563	G-III
Exp034565	G-III
Exp034952	G-III
Exp034954	G-III
Exp034966	G-III
Exp035060	G-III
Exp035061	G-III
Exp035062	G-III
Exp035066	G-III
Exp035067	G-III
Exp035080	G-III
Exp035081	G-III
Exp035083	G-III
Exp037006	G-III
Exp041345	G-III
Exp041346	G-III
Exp041347	G-III
Exp041348	G-III
Exp041349	G-III
Exp041351	G-III
Exp041353	G-III
Exp041354	G-III
Exp041355	G-III
Exp041357	G-III
Exp041358	G-III
Exp042805	G-III
Exp042811	G-III
Exp043639	G-III
Exp043641	G-III
Exp028839	G-IV
Exp033002	G-IV
Exp033152	G-IV
Exp033302	G-IV
Exp034567	G-IV
Exp034961	G-IV
Exp034962	G-IV
Exp034964	G-IV
Exp035063	G-IV
Exp035064	G-IV
Exp035065	G-IV
Exp035069	G-IV
Exp035070	G-IV
Exp035071	G-IV
Exp035072	G-IV
Exp035073	G-IV
Exp035074	G-IV
Exp036991	G-IV
Exp042803	G-IV
Exp042810	G-IV
