+------+-------------------------------+-------------+---------------+
| Rank |           Drug Name           | Target Name | Binding Score |
+------+-------------------------------+-------------+---------------+
|  1   |       Pyridostatin_2044       |    RPS11    |     61.69     |
|  2   |         Cisplatin_1005        |    SEC61B   |     38.48     |
|  3   |          AT13148_2170         |    COPS3    |     37.10     |
|  4   | KRAS (G12C) Inhibitor-12_1855 |    RPS27    |     35.61     |
|  5   |          XAV939_1268          |    USP39    |     35.41     |
|  6   |          MK-1775_1179         |     RPS7    |     34.90     |
|  7   |         CZC24832_1615         |    USP39    |     34.32     |
|  8   |         I-BET-762_1624        |    SEC61B   |     32.78     |
|  9   |         Daporinad_1248        |    BRIX1    |     32.47     |
|  10  |          I-BRD9_1928          |    TRMT6    |     31.67     |
|  11  |         Cisplatin_1005        |     RPS7    |     31.38     |
|  12  |       Dactinomycin_1811       |    COPS3    |     29.65     |
|  13  |        Osimertinib_1919       |    NHP2L1   |     29.08     |
|  14  |         Cisplatin_1005        |    RPS11    |     27.30     |
|  15  |    Obatoclax Mesylate_1068    |    RPS27    |     27.28     |
|  16  |          NU7441_1038          |    RPS11    |     26.76     |
|  17  |        Gemcitabine_1190       |    RAB15    |     26.65     |
|  18  |        Carmustine_1807        |    NHP2L1   |     26.53     |
|  19  |         Axitinib_1021         |    TRMT6    |     26.15     |
|  20  |         Olaparib_1017         |    NHP2L1   |     26.13     |
|  21  |          XAV939_1268          |     RPS7    |     25.76     |
|  22  |          UMI-77_1939          |    TRMT6    |     25.52     |
|  23  |        Gemcitabine_1190       |     DRG2    |     25.17     |
|  24  |    Gallibiscoquinazole_1830   |    SEC61B   |     25.00     |
|  25  |           AZ960_1250          |    SEC61B   |     24.69     |
|  26  |          ABT737_1910          |    NHP2L1   |     24.51     |
|  27  |         Cisplatin_1005        |     DRG2    |     24.34     |
|  28  |       Dactinomycin_1911       |    RPS11    |     23.93     |
|  29  |        Fludarabine_1813       |     DRG2    |     23.83     |
|  30  |          AZD6738_1917         |    WDR75    |     23.78     |
|  31  |         PLX-4720_1036         |    COPS3    |     23.67     |
|  32  |          UMI-77_1939          |    RPS27    |     23.49     |
